int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
74,2059,transporter(12),transporter(12),true,30.869999999998928,0.0,50,6.46
75,6990,transporter(12),transporter(12),true,37.49400000000001,0.0,50,8.0
76,2854,transporter(12),transporter(12),true,55.685999999998074,0.0,50,5.58
77,1870,transporter(12),transporter(12),true,26.58399999999918,0.0,50,4.8
78,1855,transporter(12),transporter(12),true,26.1239999999992,0.0,50,4.72
79,1109,transporter(12),transporter(12),true,23.965999999999834,0.0,50,3.4
80,1714,transporter(12),transporter(12),true,20.085999999999515,0.0,50,5.12
81,2504,transporter(12),transporter(12),true,36.973999999998846,0.0,50,5.8
82,2479,transporter(12),transporter(12),true,60.30399999999778,0.0,50,8.54
83,3170,transporter(12),transporter(12),true,34.62199999999944,0.0,50,6.3
84,1768,transporter(12),transporter(12),true,35.27999999999894,0.0,50,5.2
85,2075,transporter(12),transporter(12),true,33.92199999999898,0.0,50,7.02
86,2262,transporter(12),transporter(12),true,40.44599999999865,0.0,50,6.6
87,1776,transporter(12),transporter(12),true,26.331999999999187,0.0,50,5.84
88,3511,transporter(12),transporter(12),true,49.306000000000246,0.0,50,8.02
89,2436,transporter(12),transporter(12),true,50.319999999998345,0.0,50,6.4
90,2288,transporter(12),transporter(12),true,34.287999999998995,0.0,50,6.72
91,8474,transporter(12),transporter(12),true,33.37399999999931,0.0,50,5.8
92,2075,transporter(12),transporter(12),true,39.64999999999869,0.0,50,6.02
93,1790,transporter(12),transporter(12),true,34.95599999999915,0.0,50,5.4
94,5465,transporter(12),transporter(12),true,37.49400000000001,0.0,50,8.2
95,2687,transporter(12),transporter(12),true,53.913999999997905,0.0,50,7.08
96,2054,transporter(12),transporter(12),true,36.91999999999884,0.0,50,6.1
97,3753,transporter(12),transporter(12),true,42.900000000000176,0.0,50,6.78
98,2739,transporter(12),transporter(12),true,29.18799999999924,0.0,50,6.06
99,1412,transporter(12),transporter(12),true,29.08199999999929,0.0,50,5.8
100,5077,transporter(12),transporter(12),true,59.06599999999978,10.0,50,7.1
101,1780,transporter(12),transporter(12),true,36.06799999999894,10.0,50,6.5
102,3280,transporter(12),transporter(12),true,33.22400000000053,10.0,50,6.48
103,1759,transporter(12),transporter(12),true,43.53799999999873,10.0,50,6.74
104,3103,transporter(12),transporter(12),true,30.910000000000178,10.0,50,7.7
