int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
74,3063,transporter(22),transporter(22),true,46.08999999999953,0.0,50,7.12
75,1527,transporter(22),transporter(22),true,29.82399999999927,0.0,50,5.54
76,3461,transporter(22),transporter(22),true,31.020000000000206,0.0,50,6.8
77,2620,transporter(22),transporter(22),true,24.517999999999624,0.0,50,5.16
78,1167,transporter(22),transporter(22),true,20.743999999999676,0.0,50,4.04
79,3576,transporter(22),transporter(22),true,35.92399999999927,0.0,50,6.4
80,5089,transporter(22),transporter(22),true,37.494,0.0,50,7.58
81,2239,transporter(22),transporter(22),true,24.745999999999484,0.0,50,6.22
82,1245,transporter(22),transporter(22),true,21.881999999999685,0.0,50,4.86
83,2152,transporter(22),transporter(22),true,21.08199999999923,0.0,50,6.3
84,1759,transporter(22),transporter(22),true,30.879999999999413,0.0,50,5.56
85,2316,transporter(22),transporter(22),true,42.77399999999855,0.0,50,6.94
86,1304,transporter(22),transporter(22),true,20.613999999999887,0.0,50,4.92
87,3931,transporter(22),transporter(22),true,36.51999999999926,0.0,50,6.64
88,1921,transporter(22),transporter(22),true,19.36799999999955,0.0,50,5.62
89,2498,transporter(22),transporter(22),true,49.685999999998124,0.0,50,6.5
90,1412,transporter(22),transporter(22),true,20.113999999999578,0.0,50,4.32
91,2809,transporter(22),transporter(22),true,43.99399999999862,0.0,50,6.16
92,3042,transporter(22),transporter(22),true,45.681999999999434,0.0,50,5.56
93,5354,transporter(22),transporter(22),true,56.099999999999966,0.0,50,6.54
94,5768,transporter(22),transporter(22),true,57.28600000000006,0.0,50,8.54
95,3300,transporter(22),transporter(22),true,41.59199999999905,0.0,50,6.94
96,2060,transporter(22),transporter(22),true,54.25399999999812,0.0,50,9.22
97,1909,transporter(22),transporter(22),true,26.267999999999297,0.0,50,5.1
98,1593,transporter(22),transporter(22),true,25.531999999999467,0.0,50,5.52
99,2158,transporter(22),transporter(22),true,31.96799999999887,0.0,50,7.16
100,4333,transporter(22),transporter(22),true,81.2380000000004,10.0,50,7.12
101,3010,transporter(22),transporter(22),true,60.16599999999866,10.0,50,7.66
102,3214,transporter(22),transporter(22),true,32.41200000000052,10.0,50,7.16
103,1695,transporter(22),transporter(22),true,27.6099999999992,10.0,50,5.82
104,3089,transporter(22),transporter(22),true,29.541999999999867,10.0,50,8.24
105,5950,transporter(22),transporter(22),true,37.49400000000001,10.0,50,5.88
106,3612,transporter(22),transporter(22),true,76.15400000000224,10.0,50,7.2
107,1982,transporter(22),transporter(22),true,28.581999999999066,10.0,50,5.28
108,4129,transporter(22),transporter(22),true,81.93800000000022,10.0,50,7.28
109,1778,transporter(22),transporter(22),true,28.751999999999047,10.0,50,6.14
110,1009,transporter(22),transporter(22),true,27.737999999999623,10.0,50,3.84
111,2269,transporter(22),transporter(22),true,33.46799999999878,10.0,50,8.18
112,2246,transporter(22),transporter(22),true,41.68999999999857,10.0,50,6.78
113,2139,transporter(22),transporter(22),true,32.66399999999899,10.0,50,6.86
114,1857,transporter(22),transporter(22),true,49.527999999998634,10.0,50,6.4
115,2250,transporter(22),transporter(22),true,29.291999999999202,10.0,50,6.32
116,1317,transporter(22),transporter(22),true,27.827999999999548,10.0,50,4.54
117,7078,transporter(22),transporter(22),true,37.494,10.0,50,7.78
118,1508,transporter(22),transporter(22),true,23.561999999999347,10.0,50,5.74
119,2588,transporter(22),transporter(22),true,39.149999999998464,10.0,50,7.5
120,6961,transporter(22),transporter(22),true,37.494,10.0,50,6.28
121,2361,transporter(22),transporter(22),true,42.51799999999853,10.0,50,8.0
122,1808,transporter(22),transporter(22),true,30.85199999999912,10.0,50,6.8
123,3601,transporter(22),transporter(22),true,78.57000000000279,10.0,50,7.12
124,2956,transporter(22),transporter(22),true,58.735999999998306,10.0,50,6.46
125,1866,transporter(22),transporter(22),true,37.84599999999879,10.0,50,7.18
126,4564,transporter(22),transporter(22),true,37.9799999999996,10.0,50,6.94
127,2765,transporter(22),transporter(22),true,40.261999999998714,10.0,50,5.6
128,4356,transporter(22),transporter(22),true,37.022000000000226,10.0,50,5.16
129,2728,transporter(22),transporter(22),true,27.223999999999368,10.0,50,6.16
130,945,transporter(22),transporter(22),true,20.087999999999973,10.0,50,3.88
131,4034,transporter(22),transporter(22),true,27.259999999999945,10.0,50,6.54
132,4186,transporter(22),transporter(22),true,44.30999999999966,10.0,50,7.02
133,1315,transporter(22),transporter(22),true,22.35399999999954,10.0,50,5.58
134,2753,transporter(22),transporter(22),true,40.20199999999888,10.0,50,5.88
135,2878,transporter(22),transporter(22),true,70.63999999999746,10.0,50,6.68
136,1705,transporter(22),transporter(22),true,35.38799999999907,10.0,50,5.84
137,1298,transporter(22),transporter(22),true,29.877999999999684,10.0,50,4.4
138,4350,transporter(22),transporter(22),true,59.46600000000021,10.0,50,7.36
139,4655,transporter(22),transporter(22),true,38.103999999999836,10.0,50,5.88
140,4539,transporter(22),transporter(22),true,37.49400000000001,10.0,50,6.76
141,1169,transporter(22),transporter(22),true,23.587999999999855,10.0,50,3.96
142,7693,transporter(22),transporter(22),true,37.494,10.0,50,7.68
143,1553,transporter(22),transporter(22),true,25.38599999999924,10.0,50,6.08
144,1552,transporter(22),transporter(22),true,47.837999999999,10.0,50,7.62
145,2714,transporter(22),transporter(22),true,24.83999999999933,10.0,50,6.58
146,1474,transporter(22),transporter(22),true,17.125999999999966,10.0,50,3.94
147,2281,transporter(22),transporter(22),true,39.52199999999911,10.0,50,6.02
148,5138,transporter(22),transporter(22),true,37.49400000000001,10.0,50,7.48
149,1588,transporter(22),transporter(22),true,21.04399999999955,10.0,50,5.88
150,1834,transporter(22),transporter(22),true,33.49399999999904,10.0,50,4.7
151,4002,transporter(22),transporter(22),true,58.034000000000894,10.0,50,9.08
152,7943,transporter(22),transporter(22),true,37.49400000000001,10.0,50,7.18
153,2469,transporter(22),transporter(22),true,34.97999999999907,10.0,50,5.46
154,1043,transporter(22),transporter(22),true,26.73799999999976,10.0,50,3.84
155,2957,transporter(22),transporter(22),true,57.841999999998386,10.0,50,7.18
156,2797,transporter(22),transporter(22),true,24.741999999999397,10.0,50,6.86
157,2411,transporter(22),transporter(22),true,27.72999999999912,10.0,50,6.32
158,1502,transporter(22),transporter(22),true,24.199999999999772,10.0,50,4.24
